tag,engine,file,text,audio_s,proc_s,rtf
L1,whisper,babble_5dB/light/con_007_pro_007.wav,因为你可以早睡早睡上班的时间一定也晚,3.67,0.85,0.231
L1,whisper,babble_5dB/light/con_008_pro_008.wav,因为你可以为了身体健康我们就下班的时间一定也晚,3.73,0.93,0.249
L1,whisper,babble_5dB/light/con_009_pro_009.wav,个人的生活空间一定也就这么,4.23,0.68,0.161
L1,whisper,babble_5dB/light/con_010_pro_010.wav,噢 不太一定是我可以给你试试额外的时间来过渡,4.69,1.03,0.219
L1,whisper,babble_5dB/light/con_011_pro_011.wav,你没有多两个小时但是你自己有什么人多两个小时我给你,5.71,1.19,0.208
L1,whisper,babble_5dB/no/con_001_pro_001.wav,它让你在那个时间段拥有自己比方是药那它是怎么缓解我们的空虚的,6.87,1.05,0.153
L1,whisper,babble_5dB/no/con_002_pro_002.wav,哪怕觉得自己是一个刷抖音的女生没问题没问题先不着急,4.22,0.91,0.215
L1,whisper,babble_5dB/no/con_003_pro_003.wav,我帮你再收一几枚因为有一个前提性的问题没有讨论,4.48,0.98,0.219
L1,whisper,babble_5dB/no/con_004_pro_004.wav,其实不过分没有没有我在讲的是熬夜了熬夜就是晚睡晚睡,6.35,1.11,0.175
L1,whisper,babble_5dB/no/con_005_pro_005.wav,我觉得晚睡晚起好 我先聊晚睡晚起,4.48,0.80,0.178
L1,whisper,babble_5dB/no/con_006_pro_006.wav,晚睡早起也算努力了既然你是晚睡晚起,4.22,0.88,0.207
L1,whisper,babble_5dB/no/con_007_pro_007.wav,因为你可以早睡早起你上班的时间必定绝望,4.14,0.85,0.205
L1,whisper,babble_5dB/no/con_008_pro_008.wav,因为你可以为了身体健康下半的时间一定结完,4.22,0.82,0.195
L1,whisper,babble_5dB/no/con_009_pro_009.wav,那你个人的生活空间毕竟也就这么厉害,4.65,0.86,0.186
L1,whisper,babble_5dB/no/con_010_pro_010.wav,哦 不太一致我可以給你記住你是怎麼過不出額外的時間來過你的記憶,5.42,1.15,0.212
L1,whisper,babble_5dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己是不是多了两个我可以给你解释什么意思是两点睡十点起,6.61,1.28,0.194
L1,whisper,clean/heavy/con_001_pro_001.wav,它让你在那个时间段拥有的自己,4.39,0.64,0.145
L1,whisper,clean/heavy/con_002_pro_002.wav,哪怕这个字迹是一个刷个名的字迹,3.18,0.78,0.245
L1,whisper,clean/heavy/con_003_pro_003.wav,因为有一个前提性的问题没有讨论,2.96,0.74,0.249
L1,whisper,clean/heavy/con_004_pro_004.wav,所谓的熬夜就是晚睡晚起,4.84,0.67,0.139
L1,whisper,clean/heavy/con_005_pro_005.wav,我先聊晚睡晚起,2.75,0.58,0.211
L1,whisper,clean/heavy/con_006_pro_006.wav,好 既然你是玩 睡完起,2.57,0.69,0.267
L1,whisper,clean/heavy/con_007_pro_007.wav,因为你可以早上上班的时间必定也晚,2.89,0.76,0.262
L1,whisper,clean/heavy/con_008_pro_008.wav,因为你可以为了身体健康下来的时间必定也晚,2.91,0.85,0.292
L1,whisper,clean/heavy/con_009_pro_009.wav,个人的生活空间必定也就这么点,3.54,0.74,0.209
L1,whisper,clean/heavy/con_010_pro_010.wav,"哦,不太一致",3.49,0.75,0.215
L1,whisper,clean/heavy/con_011_pro_011.wav,你没有多两个小时但是你自己十点几,4.21,0.89,0.211
L1,whisper,clean/light/con_001_pro_001.wav,它让你在那个时间段里拥有乳房是药那它是怎么缓解我们的空虚的,5.94,1.28,0.215
L1,whisper,clean/light/con_002_pro_002.wav,哪怕这个自己是一个刷抖音的自己没问题没问题先不着急,3.83,1.05,0.273
L1,whisper,clean/light/con_003_pro_003.wav,我往这里再稍微解释一下因为有一个前提性的问题没有讨论,3.91,1.07,0.275
L1,whisper,clean/light/con_004_pro_004.wav,其实部落分也是一种要我们在讲的熬夜所谓的熬夜就是晚睡晚起是吧,5.79,1.02,0.176
L1,whisper,clean/light/con_005_pro_005.wav,我觉得晚睡晚起也是熬夜我先聊晚睡晚起,3.83,0.78,0.205
L1,whisper,clean/light/con_006_pro_006.wav,晚睡早起也是熬夜了既然你是晚睡晚起的,3.60,0.75,0.208
L1,whisper,clean/light/con_007_pro_007.wav,因为你可以早睡早起你上班的时间必定也晚,3.67,0.68,0.187
L1,whisper,clean/light/con_008_pro_008.wav,因为你可以为了身体健康下班的时间必定也晚,3.73,0.72,0.194
L1,whisper,clean/light/con_009_pro_009.wav,早睡晚睡那你个人的生活空间必定也就这么点,4.23,0.79,0.186
L1,whisper,clean/light/con_010_pro_010.wav,哦不太一致你是怎么多出额外的时间来过自己的生活的,4.69,0.81,0.172
L1,whisper,clean/light/con_011_pro_011.wav,你没有多两个小时但是你自己的时间多了两点睡十点起,5.71,1.02,0.178
L1,whisper,clean/no/con_001_pro_001.wav,它让你在那个时间段里拥有了自己米方是药那它是怎么缓解我们的空虚的,6.87,1.04,0.152
L1,whisper,clean/no/con_002_pro_002.wav,哪怕这个自己是一个刷抖音的自己没问题没问题先不着急,4.22,0.81,0.192
L1,whisper,clean/no/con_003_pro_003.wav,我往这里再稍微解释一下因为有一个前提性的问题没有讨论,4.48,0.83,0.185
L1,whisper,clean/no/con_004_pro_004.wav,其实部落分也是一种要的其实在讲的熬夜所谓的熬夜就是晚睡晚起是吧,6.35,1.03,0.161
L1,whisper,clean/no/con_005_pro_005.wav,我觉得晚睡晚起也是熬夜好我先聊晚睡晚起,4.48,0.71,0.159
L1,whisper,clean/no/con_006_pro_006.wav,晚睡早起也是熬夜了既然你是晚睡晚起的,4.22,0.73,0.172
L1,whisper,clean/no/con_007_pro_007.wav,因为你可以早睡早起你上班的时间必定也晚,4.14,0.66,0.160
L1,whisper,clean/no/con_008_pro_008.wav,因为你可以为了身体健康你下班的时间必定也晚,4.22,0.74,0.175
L1,whisper,clean/no/con_009_pro_009.wav,早睡晚睡那你个人的生活空间必定也就这么点,4.65,0.77,0.166
L1,whisper,clean/no/con_010_pro_010.wav,不太一致我可以给你解释你是怎么多出额外的时间来过自己的生活的,5.42,0.98,0.181
L1,whisper,clean/no/con_011_pro_011.wav,你没有多两个小时但是你自己的时间多了两个我可以给你解释我的意思是两点睡十点起,6.61,1.03,0.156
L1,whisper,white_0dB/heavy/con_001_pro_001.wav,他让你在那边他是工业的,4.39,0.61,0.138
L1,whisper,white_0dB/heavy/con_002_pro_002.wav,"打开这个镜子,你给我发个信听不着",3.18,0.69,0.218
L1,whisper,white_0dB/heavy/con_003_pro_003.wav,因为有一个前面没有讨论,2.96,0.55,0.187
L1,whisper,white_0dB/heavy/con_004_pro_004.wav,不过跟医生讲的熬夜所谓的熬夜就是晚睡晚起,4.84,0.81,0.168
L1,whisper,white_0dB/heavy/con_005_pro_005.wav,我觉得晚会晚会晚会晚会晚,2.75,0.57,0.207
L1,whisper,white_0dB/heavy/con_006_pro_006.wav,,2.57,0.47,0.183
L1,whisper,white_0dB/heavy/con_007_pro_007.wav,因为你可以等上班的时间毕竟也晚,2.89,0.62,0.213
L1,whisper,white_0dB/heavy/con_008_pro_008.wav,因为你可以为了身体健康因为你可以为了身体健康,2.91,0.75,0.256
L1,whisper,white_0dB/heavy/con_009_pro_009.wav,两个客人的生活空间毕竟也就这么紧,3.54,0.69,0.194
L1,whisper,white_0dB/heavy/con_010_pro_010.wav,,3.49,0.62,0.178
L1,whisper,white_0dB/heavy/con_011_pro_011.wav,你给我多两个小时两个小时十点,4.21,0.71,0.169
L1,whisper,white_0dB/light/con_001_pro_001.wav,它让你在那个时间段拥有的比方是药那它是怎么换其实我们都不知道,5.94,0.86,0.145
L1,whisper,white_0dB/light/con_002_pro_002.wav,打发给自己一个刷抖音的机器没问题没问题真不着急,3.83,0.83,0.218
L1,whisper,white_0dB/light/con_003_pro_003.wav,因为有一个天气的问题没有讨论,3.91,0.62,0.159
L1,whisper,white_0dB/light/con_004_pro_004.wav,我们在讲的熬夜所谓的熬夜就是晚睡晚醒,5.79,0.74,0.128
L1,whisper,white_0dB/light/con_005_pro_005.wav,我都觉得晚睡晚醒我都觉得晚睡晚醒,3.83,0.71,0.184
L1,whisper,white_0dB/light/con_006_pro_006.wav,哇 睡早你也睡 没问题啊既然你是晚睡晚醒,3.60,0.77,0.213
L1,whisper,white_0dB/light/con_007_pro_007.wav,因为你可以早睡早起上班的时间毕竟也晚,3.67,0.71,0.194
L1,whisper,white_0dB/light/con_008_pro_008.wav,因为你可以为了身体健康我们就下班的时间结束了,3.73,0.74,0.197
L1,whisper,white_0dB/light/con_009_pro_009.wav,两点对那你个人的生活空间毕竟也就这么一点,4.23,0.80,0.189
L1,whisper,white_0dB/light/con_010_pro_010.wav,不太一致我可以一直跑到国外的区间来控制,4.69,0.75,0.159
L1,whisper,white_0dB/light/con_011_pro_011.wav,你没有多两个小时但是你自己是不是多了两个小时我平时是两点睡十点起,5.71,1.13,0.198
L1,whisper,white_0dB/no/con_001_pro_001.wav,它让你在那个时间段拥有了自己比方是药那它是怎么环接我们的空气的,6.87,1.17,0.170
L1,whisper,white_0dB/no/con_002_pro_002.wav,打他这个字是一个刷抖音的字没问题没问题听不着,4.22,0.89,0.210
L1,whisper,white_0dB/no/con_003_pro_003.wav,因为有一个前期性的问题没有讨论,4.48,0.71,0.159
L1,whisper,white_0dB/no/con_004_pro_004.wav,就是部落分移没有没有就在讲的熬夜所谓的熬夜就是晚睡晚醒是吧,6.35,1.31,0.206
L1,whisper,white_0dB/no/con_005_pro_005.wav,好 我先聊晚睡晚起,4.48,0.59,0.133
L1,whisper,white_0dB/no/con_006_pro_006.wav,既然你是晚睡晚起,4.22,0.64,0.153
L1,whisper,white_0dB/no/con_007_pro_007.wav,因为你可以早睡早起你上班的时间毕竟也晚,4.14,0.87,0.210
L1,whisper,white_0dB/no/con_008_pro_008.wav,因为你可以为了身体健康下半段时间进行结尾,4.22,0.90,0.214
L1,whisper,white_0dB/no/con_009_pro_009.wav,那你个人的生活空间毕竟也就这么小,4.65,0.79,0.170
L1,whisper,white_0dB/no/con_010_pro_010.wav,哦 不太一致我可以给你解释一下你是怎么多出国外的时间来做自己的工作,5.42,1.08,0.199
L1,whisper,white_0dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己的是不是多了两个小时我给你解释我的意思是两点睡十点起,6.61,1.48,0.224
L1,whisper,white_5dB/heavy/con_001_pro_001.wav,它让你在那个时间段它是中原接我们通知的,4.39,0.89,0.202
L1,whisper,white_5dB/heavy/con_002_pro_002.wav,哪怕这个自己是一个发抖的你先不着急,3.18,0.80,0.251
L1,whisper,white_5dB/heavy/con_003_pro_003.wav,因為有一個前幾天的問題沒有討論,2.96,0.66,0.225
L1,whisper,white_5dB/heavy/con_004_pro_004.wav,所谓的熬夜就是晚睡晚起,4.84,0.72,0.148
L1,whisper,white_5dB/heavy/con_005_pro_005.wav,都觉得晚睡晚起,2.75,0.59,0.214
L1,whisper,white_5dB/heavy/con_006_pro_006.wav,,2.57,0.55,0.216
L1,whisper,white_5dB/heavy/con_007_pro_007.wav,因为你可以早上上班的时间毕竟也晚,2.89,0.75,0.260
L1,whisper,white_5dB/heavy/con_008_pro_008.wav,因为你可以为了身体健康因为你可以为了身体健康,2.91,0.86,0.294
L1,whisper,white_5dB/heavy/con_009_pro_009.wav,两个人的生活空间必定也就这么点,3.54,0.74,0.209
L1,whisper,white_5dB/heavy/con_010_pro_010.wav,,3.49,0.66,0.190
L1,whisper,white_5dB/heavy/con_011_pro_011.wav,你没有多两个小时十点几,4.21,0.74,0.175
L1,whisper,white_5dB/light/con_001_pro_001.wav,它让你在那个时间段拥有了礼盲是药那它是怎么环接我们的空气的,5.94,1.16,0.195
L1,whisper,white_5dB/light/con_002_pro_002.wav,打他这个字是一个刷抖音的字没问题没问题先不着急,3.83,0.89,0.231
L1,whisper,white_5dB/light/con_003_pro_003.wav,因为有一个前提性的问题没有讨论,3.91,0.73,0.186
L1,whisper,white_5dB/light/con_004_pro_004.wav,其实部落分移是一种要求我们在讲的熬夜所谓的熬夜就是晚睡晚起是吧,5.79,1.13,0.195
L1,whisper,white_5dB/light/con_005_pro_005.wav,都觉得晚睡晚起好些聊晚睡晚起,3.83,0.71,0.186
L1,whisper,white_5dB/light/con_006_pro_006.wav,既然你是晚睡晚起,3.60,0.59,0.163
L1,whisper,white_5dB/light/con_007_pro_007.wav,因为你可以早睡早起上班的时间毕竟也晚,3.67,0.82,0.224
L1,whisper,white_5dB/light/con_008_pro_008.wav,因为你可以为了身体健康我们一定下班的时间一定结完,3.73,0.94,0.253
L1,whisper,white_5dB/light/con_009_pro_009.wav,那你个人的生活空间必定也就这么远,4.23,0.80,0.190
L1,whisper,white_5dB/light/con_010_pro_010.wav,"哦,不太一致,我可以一致复杂",4.69,0.75,0.161
L1,whisper,white_5dB/light/con_011_pro_011.wav,你没有多两个小时但是你自己有什么人多两个小时两点睡十点起,5.71,1.17,0.206
L1,whisper,white_5dB/no/con_001_pro_001.wav,它让你在那个时间段拥有了自己乳房是药那它是怎么缓解我们的空虚的,6.87,1.35,0.196
L1,whisper,white_5dB/no/con_002_pro_002.wav,哪怕这个自己是一个刷抖音的自己没问题没问题先不着急,4.22,1.01,0.240
L1,whisper,white_5dB/no/con_003_pro_003.wav,因为有一个前提性的问题没有讨论,4.48,0.68,0.152
L1,whisper,white_5dB/no/con_004_pro_004.wav,其实部落分也是一种要的没有没有是在讲着熬夜所谓的熬夜就是晚睡晚醒是吧,6.35,1.40,0.220
L1,whisper,white_5dB/no/con_005_pro_005.wav,好 我先聊晚睡晚起,4.48,0.56,0.125
L1,whisper,white_5dB/no/con_006_pro_006.wav,晚睡早起也太討厭了既然你是晚睡晚起,4.22,0.87,0.206
L1,whisper,white_5dB/no/con_007_pro_007.wav,因为你可以早睡早起你上班的时间必定也晚,4.14,0.80,0.192
L1,whisper,white_5dB/no/con_008_pro_008.wav,因为你可以为了身体健康下班的时间必定也晚,4.22,0.76,0.181
L1,whisper,white_5dB/no/con_009_pro_009.wav,那你个人的生活空间必定也就这么点,4.65,0.76,0.162
L1,whisper,white_5dB/no/con_010_pro_010.wav,不太一致我可以给你解释你是怎么多出额外的时间来做自己的工作呢,5.42,1.10,0.203
L1,whisper,white_5dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己的时间多了两个我可以给你解释我的意思是两点睡十点起,6.61,1.24,0.187
L2,whisper,babble_0dB/heavy/con_001_pro_001.wav,他认为在内膛使用了他使用了,4.39,1.05,0.240
L2,whisper,babble_0dB/heavy/con_002_pro_002.wav,,3.18,0.44,0.138
L2,whisper,babble_0dB/heavy/con_003_pro_003.wav,,2.96,0.46,0.157
L2,whisper,babble_0dB/heavy/con_004_pro_004.wav,我们讲的奥特曼都很坏的,4.84,0.65,0.134
L2,whisper,babble_0dB/heavy/con_005_pro_005.wav,,2.75,0.49,0.178
L2,whisper,babble_0dB/heavy/con_006_pro_006.wav,,2.57,0.45,0.177
L2,whisper,babble_0dB/heavy/con_007_pro_007.wav,因为你可以总是有满足的,2.89,0.56,0.194
L2,whisper,babble_0dB/heavy/con_008_pro_008.wav,,2.91,0.45,0.153
L2,whisper,babble_0dB/heavy/con_009_pro_009.wav,,3.54,0.45,0.126
L2,whisper,babble_0dB/heavy/con_010_pro_010.wav,,3.49,0.48,0.137
L2,whisper,babble_0dB/heavy/con_011_pro_011.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.21,0.91,0.217
L2,whisper,babble_0dB/light/con_001_pro_001.wav,它让你在内部的这段时间当时让你跟它是什么关系不是投入的吗,5.94,0.88,0.148
L2,whisper,babble_0dB/light/con_002_pro_002.wav,,3.83,0.85,0.223
L2,whisper,babble_0dB/light/con_003_pro_003.wav,,3.91,0.67,0.171
L2,whisper,babble_0dB/light/con_004_pro_004.wav,要是这样的毛铁轨道这就是坏事,5.79,0.90,0.156
L2,whisper,babble_0dB/light/con_005_pro_005.wav,晚睡晚睡好 你不要晚睡晚睡,3.83,0.81,0.210
L2,whisper,babble_0dB/light/con_006_pro_006.wav,,3.60,0.69,0.192
L2,whisper,babble_0dB/light/con_007_pro_007.wav,因为你可以找对的是我们的力量是我们的力量,3.67,0.97,0.264
L2,whisper,babble_0dB/light/con_008_pro_008.wav,感谢观看,3.73,0.55,0.147
L2,whisper,babble_0dB/light/con_009_pro_009.wav,你个人的生活面临中有什么问题,4.23,0.72,0.171
L2,whisper,babble_0dB/light/con_010_pro_010.wav,,4.69,0.75,0.159
L2,whisper,babble_0dB/light/con_011_pro_011.wav,我们就回来我们回来我们回来我们回来我们回来,5.71,1.12,0.197
L2,whisper,babble_0dB/no/con_001_pro_001.wav,它让你站在那个时间段然后是要和它一同完成,6.87,0.97,0.141
L2,whisper,babble_0dB/no/con_002_pro_002.wav,,4.22,0.58,0.139
L2,whisper,babble_0dB/no/con_003_pro_003.wav,因为有一个铁,4.48,0.59,0.131
L2,whisper,babble_0dB/no/con_004_pro_004.wav,现在这样的熬夜味道变成坏水,6.35,0.77,0.122
L2,whisper,babble_0dB/no/con_005_pro_005.wav,是那碗碎碗我先描碗碎碗,4.48,0.84,0.187
L2,whisper,babble_0dB/no/con_006_pro_006.wav,,4.22,0.73,0.174
L2,whisper,babble_0dB/no/con_007_pro_007.wav,因为你可以早睡 早醒上班时间你别忘了,4.14,0.99,0.238
L2,whisper,babble_0dB/no/con_008_pro_008.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,4.22,1.24,0.293
L2,whisper,babble_0dB/no/con_009_pro_009.wav,,4.65,0.58,0.125
L2,whisper,babble_0dB/no/con_010_pro_010.wav,哦 我看一眼 我的眼睛我瞬间那么狂我外面的眼睛我瞬间那么狂,5.42,1.15,0.213
L2,whisper,babble_0dB/no/con_011_pro_011.wav,你不要乱碰它你不要乱碰它你不要碰它,6.61,0.82,0.124
L2,whisper,babble_5dB/heavy/con_001_pro_001.wav,它让你在那里它是游戏,4.39,0.74,0.169
L2,whisper,babble_5dB/heavy/con_002_pro_002.wav,,3.18,7.46,2.344
L2,whisper,babble_5dB/heavy/con_003_pro_003.wav,今天有一个天哎呦 好好吃,2.96,0.64,0.215
L2,whisper,babble_5dB/heavy/con_004_pro_004.wav,我们讲的奥妙的奥妙就是万岁万岁,4.84,0.86,0.177
L2,whisper,babble_5dB/heavy/con_005_pro_005.wav,我觉得万岁万岁我觉得应该是,2.75,0.74,0.267
L2,whisper,babble_5dB/heavy/con_006_pro_006.wav,,2.57,0.55,0.212
L2,whisper,babble_5dB/heavy/con_007_pro_007.wav,因为你可以走顺关的时间,2.89,0.61,0.211
L2,whisper,babble_5dB/heavy/con_008_pro_008.wav,,2.91,0.80,0.276
L2,whisper,babble_5dB/heavy/con_009_pro_009.wav,每个人的生活环境也就这么一样,3.54,0.62,0.175
L2,whisper,babble_5dB/heavy/con_010_pro_010.wav,,3.49,0.50,0.144
L2,whisper,babble_5dB/heavy/con_011_pro_011.wav,你给我多两个名单两个名单是十年轻,4.21,0.69,0.164
L2,whisper,babble_5dB/light/con_001_pro_001.wav,它让你在那个时间段拥有的比方是药那它是怎么管,5.94,0.85,0.143
L2,whisper,babble_5dB/light/con_002_pro_002.wav,打牌给你一个刷手机的词没问题没问题先不着急,3.83,0.82,0.214
L2,whisper,babble_5dB/light/con_003_pro_003.wav,因为有一个钱性的问题没有讨论,3.91,0.62,0.159
L2,whisper,babble_5dB/light/con_004_pro_004.wav,跟我们一起我们讲的熬夜不是熬夜就是晚睡,5.79,0.74,0.128
L2,whisper,babble_5dB/light/con_005_pro_005.wav,我们都晚睡晚起我们今天比较晚睡晚起,3.83,0.69,0.181
L2,whisper,babble_5dB/light/con_006_pro_006.wav,好好好好好,3.60,0.65,0.180
L2,whisper,babble_5dB/light/con_007_pro_007.wav,因为你可以早睡上班的时间一定给我,3.67,0.61,0.167
L2,whisper,babble_5dB/light/con_008_pro_008.wav,你可以为了身体健康用下半身体也往前,3.73,0.76,0.203
L2,whisper,babble_5dB/light/con_009_pro_009.wav,个人的生活空间也就是问题,4.23,0.59,0.140
L2,whisper,babble_5dB/light/con_010_pro_010.wav,噢 不太一致我可以一直記錄我以為是從戶外的世界來複製,4.69,0.98,0.209
L2,whisper,babble_5dB/light/con_011_pro_011.wav,你没有多两场但是你你说你多两场我给你十两点所以十点钟,5.71,0.98,0.172
L2,whisper,babble_5dB/no/con_001_pro_001.wav,它让你在那个时间段拥有着自己比方是药那它是怎么环节我们的东西呢,6.87,0.95,0.138
L2,whisper,babble_5dB/no/con_002_pro_002.wav,哪怕是一个刷走运的没问题 没问题 先不着急,4.22,0.76,0.181
L2,whisper,babble_5dB/no/con_003_pro_003.wav,因为有一个前提是你的问题没有讨论,4.48,0.59,0.132
L2,whisper,babble_5dB/no/con_004_pro_004.wav,没有没有这在讲的熬夜主义的熬夜就是晚睡晚起,6.35,0.85,0.133
L2,whisper,babble_5dB/no/con_005_pro_005.wav,好 我先聊晚睡晚起,4.48,0.52,0.116
L2,whisper,babble_5dB/no/con_006_pro_006.wav,哇 没忘记了既然你是晚睡晚起,4.22,0.67,0.159
L2,whisper,babble_5dB/no/con_007_pro_007.wav,因为你可以早睡早起上班的时间比你绝望,4.14,0.69,0.167
L2,whisper,babble_5dB/no/con_008_pro_008.wav,因为你可以为了善事建造一个下满的世界别忘记,4.22,0.79,0.187
L2,whisper,babble_5dB/no/con_009_pro_009.wav,个人的生活空间地理也就是问题,4.65,0.59,0.128
L2,whisper,babble_5dB/no/con_010_pro_010.wav,不太一致我可以给你解释一下你是怎么额外的时间来顾你自己,5.42,0.94,0.174
L2,whisper,babble_5dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己是不是不要两个不一我的意思是两点睡十点起步,6.61,1.06,0.160
L2,whisper,clean/heavy/con_001_pro_001.wav,它让你在那个时间段永远是红书的,4.39,0.64,0.147
L2,whisper,clean/heavy/con_002_pro_002.wav,哪怕这个自己是一个刷个零的自己,3.18,0.64,0.201
L2,whisper,clean/heavy/con_003_pro_003.wav,因为有一个前提没有讨论,2.96,0.59,0.201
